#TITLE =Clay Brick (Common)
#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
#ORIGIN = MODIS GROUP OF ICESS, UCSB
#PI = ZHENGMING WAN
#EMAIL: wan@icess.ucsb.edu
#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
#OPERATOR = YULIN ZHANG
#DATE = 0/0/0
#TIME = 0:0
#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
#XUNITS = 1/CM
#YUNITS = ABSOLUTE EMISSIVITY
#FIRSTX = 686.869
#LASTX = 2998.3
#NPOINTS = 600
#DELTAX = 3.85882
#CLASS = FTIR
#FILE NAME:03
#XYDATA=
#X(Micrometer)  #X(cm-1)        #Yvalue
5.78452         1728.75         .898784
5.77164         1732.61         .896814
5.75882         1736.47         .897054
5.74605         1740.33         .896233
5.73333         1744.18         .892485
5.72068         1748.04         .894118
5.70808         1751.9          .895066
5.69553         1755.76         .899656
5.68304         1759.62         .899236
5.67061         1763.48         .900376
5.65822         1767.34         .900746
5.6459          1771.2          .900234
5.63362         1775.06         .902985
5.6214          1778.91         .90478
5.60924         1782.77         .90275
5.59712         1786.63         .902737
5.58506         1790.49         .901157
5.57305         1794.35         .900861
5.56109         1798.21         .901699
5.54918         1802.07         .899865
5.53732         1805.93         .896175
5.52552         1809.78         .893315
5.51376         1813.64         .891423
5.50205         1817.5          .8887
5.4904          1821.36         .883336
5.47879         1825.22         .880415
5.46723         1829.08         .882959
5.45572         1832.94         .888438
5.44426         1836.8          .886883
5.43284         1840.66         .890226
5.42148         1844.51         .893804
5.41016         1848.37         .895478
5.39889         1852.23         .900468
5.38766         1856.09         .904596
5.37649         1859.95         .904324
5.36536         1863.81         .904889
5.35427         1867.67         .904371
5.34323         1871.53         .905669
5.33224         1875.38         .905176
5.32129         1879.24         .905131
5.31038         1883.1          .902757
5.29952         1886.96         .900908
5.28871         1890.82         .897323
5.27794         1894.68         .89517
5.26721         1898.54         .892731
5.25652         1902.4          .889846
5.24588         1906.25         .885419
5.23529         1910.11         .883551
5.22473         1913.97         .880069
5.21422         1917.83         .875447
5.20375         1921.69         .877193
5.19332         1925.55         .876823
5.18293         1929.41         .873653
5.17259         1933.27         .870653
5.16228         1937.13         .870445
5.15202         1940.98         .86767
5.1418          1944.84         .867555
5.13162         1948.7          .867045
5.12148         1952.56         .864284
5.11137         1956.42         .864291
5.10131         1960.28         .864116
5.09129         1964.14         .862628
5.08131         1968            .862832
5.07136         1971.85         .863979
5.06146         1975.71         .861839
5.05159         1979.57         .86268
5.04176         1983.43         .860118
5.03197         1987.29         .858474
5.02222         1991.15         .859154
5.01251         1995.01         .857268
5.00283         1998.87         .856386
4.99319         2002.73         .853631
4.98359         2006.58         .84889
4.97402         2010.44         .844187
4.9645          2014.3          .83771
4.955           2018.16         .835594
4.94555         2022.02         .830243
4.93613         2025.88         .828754
4.92674         2029.74         .823808
4.91739         2033.6          .816206
4.90808         2037.45         .81002
4.8988          2041.31         .800453
4.88956         2045.17         .798083
4.88035         2049.03         .792438
4.87118         2052.89         .783827
4.86204         2056.75         .77693
4.85293         2060.61         .771391
4.84386         2064.47         .767832
4.83483         2068.33         .759792
4.82582         2072.18         .75985
4.81685         2076.04         .751036
4.80792         2079.9          .749377
4.79901         2083.76         .74758
4.79014         2087.62         .745302
4.7813          2091.48         .741494
4.7725          2095.34         .74131
4.76373         2099.2          .739012
4.75498         2103.05         .737078
4.74628         2106.91         .737877
4.7376          2110.77         .735544
4.72895         2114.63         .734052
4.72034         2118.49         .73262
4.71176         2122.35         .731224
4.70321         2126.21         .730533
4.69469         2130.07         .730008
4.6862          2133.93         .727004
4.67774         2137.78         .725762
4.66931         2141.64         .719225
4.66091         2145.5          .714352
4.65254         2149.36         .713256
4.64421         2153.22         .711508
4.6359          2157.08         .706984
4.62762         2160.94         .705722
4.61937         2164.8          .70152
4.61115         2168.65         .694877
4.60296         2172.51         .69314
4.5948          2176.37         .692344
4.58667         2180.23         .689169
4.57856         2184.09         .690972
4.57049         2187.95         .685644
4.56244         2191.81         .681835
4.55442         2195.67         .683719
4.54643         2199.53         .680463
4.53847         2203.38         .676364
4.53054         2207.24         .67854
4.52263         2211.1          .677802
4.51475         2214.96         .682751
4.5069          2218.82         .681744
4.49907         2222.68         .682008
4.49128         2226.54         .684448
4.48351         2230.4          .683701
4.47576         2234.25         .68112
4.46805         2238.11         .67727
4.46036         2241.97         .678896
4.45269         2245.83         .675806
4.44505         2249.69         .67016
4.43744         2253.55         .668048
4.42986         2257.41         .662666
4.4223          2261.27         .660413
4.41476         2265.13         .653254
4.40726         2268.98         .65084
4.39977         2272.84         .642761
4.39232         2276.7          .639417
4.38488         2280.56         .635622
4.37748         2284.42         .628382
4.3701          2288.28         .622568
4.36274         2292.14         .618175
4.35541         2296            .613082
4.3481          2299.85         .603983
4.34082         2303.71         .593035
4.33356         2307.57         .584427
4.32632         2311.43         .577546
4.31911         2315.29         .572301
4.31192         2319.15         .556358
4.30476         2323.01         .554239
4.29762         2326.87         .533223
4.29051         2330.72         .527827
4.28342         2334.58         .5225
4.27635         2338.44         .529088
4.2693          2342.3          .517381
4.26228         2346.16         .523067
4.25528         2350.02         .531936
4.24831         2353.88         .523395
4.24135         2357.74         .51652
4.23442         2361.6          .518356
4.22751         2365.45         .517841
4.22063         2369.31         .530221
4.21377         2373.17         .53609
4.20693         2377.03         .536875
4.20011         2380.89         .539441
4.19331         2384.75         .544867
4.18654         2388.61         .548148
4.17978         2392.47         .545024
4.17305         2396.32         .546539
4.16635         2400.18         .550892
4.15966         2404.04         .545578
4.15299         2407.9          .547887
4.14635         2411.76         .549633
4.13972         2415.62         .550044
4.13312         2419.48         .550437
4.12654         2423.34         .545374
4.11998         2427.2          .547437
4.11344         2431.05         .541489
4.10692         2434.91         .542562
4.10042         2438.77         .541759
4.09394         2442.63         .542607
4.08749         2446.49         .538425
4.08105         2450.35         .535156
4.07463         2454.21         .53573
4.06824         2458.07         .534197
4.06186         2461.92         .536702
4.0555          2465.78         .535885
4.04917         2469.64         .537673
4.04285         2473.5          .536138
4.03655         2477.36         .536027
4.03027         2481.22         .532653
4.02402         2485.08         .534359
4.01778         2488.94         .538265
4.01156         2492.8          .537844
4.00536         2496.65         .536643
3.99918         2500.51         .536308
3.99301         2504.37         .539838
3.98687         2508.23         .538372
3.98075         2512.09         .535226
3.97464         2515.95         .526649
3.96856         2519.81         .53235
3.96249         2523.67         .530975
3.95644         2527.52         .528373
3.95041         2531.38         .5298
3.94439         2535.24         .531554
3.9384          2539.1          .529442
3.93242         2542.96         .524837
3.92646         2546.82         .525371
3.92052         2550.68         .5237
3.9146          2554.54         .525228
3.9087          2558.4          .522163
3.90281         2562.25         .525248
3.89694         2566.11         .520061
3.89109         2569.97         .519356
3.88526         2573.83         .523781
3.87944         2577.69         .525959
3.87364         2581.55         .525797
3.86786         2585.41         .525175
3.8621          2589.27         .528523
3.85635         2593.12         .523432
3.85062         2596.98         .522361
3.84491         2600.84         .520937
3.83921         2604.7          .521496
3.83353         2608.56         .526032
3.82787         2612.42         .527912
3.82222         2616.28         .518683
3.81659         2620.14         .52384
3.81098         2624            .522828
3.80538         2627.85         .523615
3.7998          2631.71         .517932
3.79424         2635.57         .525144
3.78869         2639.43         .518947
3.78316         2643.29         .522902
3.77765         2647.15         .522714
3.77215         2651.01         .521792
3.76667         2654.87         .522885
3.7612          2658.72         .523158
3.75575         2662.58         .52146
3.75031         2666.44         .521655
3.74489         2670.3          .520699
3.73949         2674.16         .520647
3.7341          2678.02         .520017
3.72873         2681.88         .521127
3.72337         2685.74         .518086
3.71803         2689.59         .517875
3.7127          2693.45         .517053
3.70739         2697.31         .514449
3.7021          2701.17         .519686
3.69681         2705.03         .519798
3.69155         2708.89         .52169
3.6863          2712.75         .518449
3.68106         2716.61         .522885
3.67584         2720.47         .521157
3.67063         2724.32         .527477
3.66544         2728.18         .525966
3.66026         2732.04         .531653
3.6551          2735.9          .534466
3.64995         2739.76         .530453
3.64482         2743.62         .529249
3.6397          2747.48         .527133
3.6346          2751.34         .5287
3.6295          2755.19         .532403
3.62443         2759.05         .529994
3.61937         2762.91         .531234
3.61432         2766.77         .538793
3.60928         2770.63         .542424
3.60427         2774.49         .540124
3.59926         2778.35         .53968
3.59427         2782.21         .540826
3.58929         2786.07         .540892
3.58432         2789.92         .54674
3.57937         2793.78         .543153
3.57444         2797.64         .538106
3.56951         2801.5          .536598
3.5646          2805.36         .540164
3.55971         2809.22         .537837
3.55482         2813.08         .535084
3.54995         2816.94         .54261
3.5451          2820.79         .537824
3.54025         2824.65         .545846
3.53543         2828.51         .545205
3.53061         2832.37         .551007
3.5258          2836.23         .550391
3.52101         2840.09         .556949
3.51624         2843.95         .570039
3.51147         2847.81         .569193
3.50672         2851.67         .573124
3.50198         2855.52         .583157
3.49726         2859.38         .578028
3.49254         2863.24         .570992
3.48784         2867.1          .57508
3.48315         2870.96         .578173
3.47848         2874.82         .576247
3.47382         2878.68         .579996
3.46917         2882.54         .579363
3.46453         2886.39         .581174
3.4599          2890.25         .587143
3.45529         2894.11         .586782
3.45069         2897.97         .582732
3.4461          2901.83         .59566
3.44152         2905.69         .59895
3.43696         2909.55         .606404
3.43241         2913.41         .616087
3.42787         2917.27         .609323
3.42334         2921.12         .623483
3.41882         2924.98         .62865
3.41432         2928.84         .620779
3.40982         2932.7          .619737
3.40534         2936.56         .614052
3.40087         2940.42         .616015
3.39642         2944.28         .613218
3.39197         2948.14         .60868
3.38754         2951.99         .618019
3.38312         2955.85         .610956
3.3787          2959.71         .623884
3.37431         2963.57         .623152
3.36992         2967.43         .618593
3.36554         2971.29         .621763
3.36118         2975.15         .627033
3.35682         2979.01         .615581
3.35248         2982.87         .624667
3.34815         2986.72         .627793
3.34383         2990.58         .628873
3.33952         2994.44         .624745
3.33522         2998.3          .616606
